Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Unnamed: 16,Genre
06-10-2017,Meyaadha Maan Special,Tamil,Rathna Kumar,Vaibhav,6,1.0,450,0.2,12.0,4.0,16.0,10.0,166.0,7.2,HIT,,Romance
06-10-2017,Aramm,Nayanthara Lead,Tamil,Gopi Nainar,Nayanthara,15.0,3,900.0,0.5,40.0,12.0,52.0,37.0,246.0,8.4,BLOCKBUSTER,Drama
13-10-2017,Aksar 2,Hindi,Ananth Mahadevan,Zareen Khan,8,0.5,350,2.0,3.0,0.5,3.5,-4.5,-56.0,3.8,DISASTER,,Thriller
13-10-2017,Meyaadha Maan,Tamil,Rathna Kumar,Vaibhav,6,1.0,500,0.2,10.0,3.0,13.0,7.0,116.0,7.0,HIT,,Romance
13-10-2017,Chando Likhon,Santali,Chandra Soren,Soren Murmu,2,0.2,100,0.01,2.0,0.5,2.5,0.5,25.0,6.5,AVERAGE,,Drama
13-10-2017,Mersal Special,Tamil,Atlee,Vijay,120,22.0,3500,3.0,190.0,70.0,260.0,140.0,116.0,7.6,SUPER HIT,,Action
18-10-2017,Mersal,Tamil,Atlee,Vijay,120,20.0,3500,10.0,180.0,80.0,260.0,140.0,116.0,7.6,SUPER HIT,,Action
19-10-2017,Secret Superstar,Hindi,Advait Chandan,Aamir Khan,15,4.0,1800,63.0,90.0,876.0,966.0,951.0,6340.0,7.8,ALL TIME BLOCKBUSTER,,Musical
20-10-2017,Cockpit,Bengali,Kamalika Banerjee,Dev,12,2.5,700,0.1,20.0,8.0,28.0,16.0,133.0,6.3,AVERAGE,,Action
20-10-2017,Golmaal Again,Hindi,Rohit Shetty,Ajay Devgn,70,30.0,3500,205.0,250.0,61.0,311.0,241.0,344.0,5.7,BLOCKBUSTER,,Comedy
20-10-2017,Tu Aavish To Kharo Ne,Gujarati,Bharat Patel,Jignesh Modi,3,0.5,250,0.02,5.0,2.0,7.0,4.0,133.0,6.1,HIT,,Comedy
20-10-2017,Tarak,Kannada,Prakash,Challenging Star Darshan,30,6.0,1200,0.3,35.0,10.0,45.0,15.0,50.0,6.8,HIT,,Action
27-10-2017,Carry On Kesar,Gujarati,Vipul Mehta,Siddharth Randeria,3,0.5,250,0.02,6.0,3.0,9.0,6.0,200.0,7.1,HIT,,Comedy
03-11-2017,Sargi,Punjabi,Neeru Bajwa,Amrinder Gill,8,1.2,550,0.04,15.0,10.0,25.0,17.0,212.0,6.3,HIT,,Drama
03-11-2017,Ittefaq,Hindi,Abhay Chopra,Sidharth Malhotra,29,4.0,1500,29.0,35.0,10.0,45.0,16.0,55.0,7.2,HIT,,Thriller
03-11-2017,Aruvi,Tamil,Arun Prabhu,Aditi Balan,7,1.0,500,0.2,18.0,5.0,23.0,16.0,228.0,8.4,BLOCKBUSTER,,Drama
03-11-2017,Raja The Great,Telugu,Anil Ravipudi,Ravi Teja,30,5.0,1400,0.4,32.0,12.0,44.0,14.0,46.0,7.1,HIT,,Action
10-11-2017,Qarib Qarib Singlle,Hindi,Tanuja Chandra,Irrfan Khan,12,1.0,600,10.0,12.0,4.0,16.0,4.0,33.0,7.0,AVERAGE,,Romance
17-11-2017,Imagi Ningthem,Manipuri,Aribam Syam Sharma,Leishangthem,2,0.2,100,0.01,2.0,0.5,2.5,0.5,25.0,7.2,HIT,,Drama
17-11-2017,Tumhari Sulu,Hindi,Suresh Triveni,Vidya Balan,17,3.0,900,36.0,40.0,10.0,50.0,33.0,194.0,7.0,HIT,,Comedy
17-11-2017,Kattemane, Tulu,Prakash Pandeshwar,Kishore Kumar,3,0.4,160,0.01,3.0,1.5,4.5,1.5,50.0,6.1,AVERAGE,,Drama
17-11-2017,Parava,Malayalam,Soubin Shahir,Dulquer Salmaan,16,2.5,900,0.3,22.0,7.0,29.0,13.0,81.0,8.1,HIT,,Drama
24-11-2017,Mayurakshi,Bengali,Atanu Ghosh,Prosenjit Chatterjee,5,0.7,400,0.05,6.0,2.0,8.0,3.0,60.0,7.5,HIT,,Drama
24-11-2017,Kadvi Hawa,Hindi,Nila Madhab Panda,Sanjay Mishra,5,0.3,200,1.0,1.5,0.5,2.0,-3.0,-60.0,7.8,FLOP,,Drama
24-11-2017,Balloon,Tamil,Sinish,Jai,10,1.5,600,0.2,15.0,5.0,20.0,10.0,100.0,6.0,AVERAGE,,Horror
01-12-2017,Mufti,Kannada,Narthan,Shiva Rajkumar,18,3.0,1200,0.1,35.0,25.0,60.0,42.0,233.0,8.2,HIT,,Action
01-12-2017,Firangi,Hindi,Rajiv Dhingra,Kapil Sharma,25,2.0,1200,10.0,13.0,3.0,16.0,-9.0,-36.0,4.3,FLOP,,Comedy
01-12-2017,Jawker Dhan,Bengali,Sayantan Ghosal,Parambrata Chatterjee,7,1.3,500,0.05,11.0,4.0,15.0,8.0,114.0,6.6,HIT,,Adventure
01-12-2017,Golak Bugni Bank Te Batua,Punjabi,Ksshitij Chaudhary,Amrinder Gill,8,1.5,600,0.03,18.0,12.0,30.0,22.0,275.0,7.2,HIT,,Comedy
01-12-2017,Padmavati PreRelease Buzz,Hindi,Sanjay Leela Bhansali,Deepika Padukone,190,18.0,3000,0.0,0.0,0.0,0.0,-190.0,-100.0,7.0,DISASTER,,Historical
08-12-2017,Fukrey Returns,Hindi,Mrigdeep Singh Lamba,Pulkit Samrat,22,8.0,2000,80.0,98.0,15.0,113.0,91.0,414.0,6.5,BLOCKBUSTER,,Comedy
08-12-2017,Lapachhapi,Marathi,Vishal Furia,Pooja Sawant,4,0.8,350,0.02,7.0,3.0,10.0,6.0,150.0,7.0,HIT,,Horror
08-12-2017,Anjaniputra,Kannada,A Harsha,Puneeth Rajkumar,35,7.0,1400,0.3,40.0,12.0,52.0,17.0,48.0,6.4,HIT,,Action
15-12-2017,Nirel,Tulu,Rakesh Kadri,Ravi Bhat,3,0.3,150,0.01,3.0,1.0,4.0,1.0,33.0,6.2,AVERAGE,,Drama
15-12-2017,Monsoon Shootout,Hindi,Amit Kumar,Nawazuddin Siddiqui,8,0.5,400,2.0,3.0,1.0,4.0,-4.0,-50.0,6.8,FLOP,,Crime
15-12-2017,Mayaanadhi,Malayalam,Aashiq Abu,Tovino Thomas,10,2.3,800,0.3,20.0,7.0,27.0,17.0,170.0,8.0,BLOCKBUSTER,,Romance
21-12-2017,Pulimurugan,Malayalam,Vysakh,Mohanlal,25,6.0,1800,1.0,100.0,52.0,152.0,127.0,508.0,7.1,BLOCKBUSTER,,Action
22-12-2017,Zindagi Virat,Marathi,Sumit Sanghamitra,Om Bhutkar,4,0.5,300,0.03,5.0,2.0,7.0,3.0,75.0,7.1,HIT,,Drama
22-12-2017,Tiger Zinda Hai,Hindi,Ali Abbas Zafar,Salman Khan,210,34.0,4600,339.0,434.0,131.0,565.0,355.0,169.0,6.1,BLOCKBUSTER,,Action
29-12-2017,Thaanaa Serndha Koottam,Tamil,Vignesh Shivan,Suriya,60,9.0,1800,1.0,85.0,25.0,110.0,50.0,83.0,6.8,HIT,,Action
29-12-2017,Kanaka,Kannada,R Chandru,Duniya Vijay,20,4.0,1000,0.2,25.0,7.0,32.0,12.0,60.0,6.1,HIT,,Action
