Released_Date,Movie_Name,Language,Director,Star_Featuring,Budget,Opening_Day,Screens,India_Hindi_Net,India_Gross,Overseas,Worldwide,Profit,Profit_Percentage,Rating,Verdict,Genre
25-10-2019,Adhyaksha In America,Kannada,Yoganand Muddan,Shrinagara Kitty,15,2.5,800,0.02,22.0,7.0,29,14,93,6.0,AVERAGE,Comedy
25-10-2019,Bigil,Tamil,Atlee,Vijay,180,25.0,3200,0.5,260.0,80.0,340,160,88,6.7,SUPER HIT,Sports
25-10-2019,Made in China,Hindi,Mikhil Musale,Rajkummar Rao,40,1.8,1200,12.0,20.0,5.0,25,-15,-38,6.2,FLOP,Comedy
01-11-2019,Meeku Maathrame Cheptha,Telugu,Shammeer Sultan,Vijay Deverakonda,12,2.2,900,0.1,18.0,8.0,26,14,116,6.5,HIT,Comedy
01-11-2019,Bigil Hindi Dub,Hindi Dub,Atlee,Vijay,180,4.0,800,8.0,15.0,10.0,25,-155,-86,6.7,FLOP,Sports
08-11-2019,Ujda Chaman,Hindi,Abhishek Pathak,Sunny Singh,12,1.8,900,12.0,14.0,3.0,17,5,41,6.0,AVERAGE,Comedy
08-11-2019,Satellite Shankar,Hindi,Irfan Kamal,Sooraj Pancholi,20,0.4,600,1.0,1.5,0.5,2,-18,-90,4.2,DISASTER,Action
08-11-2019,Enai Noki Paayum Thota,Tamil,Gautham Vasudev Menon,Dhanush,40,4.0,1300,0.02,50.0,15.0,65,25,62,6.4,HIT,Romance
15-11-2019,Bala,Hindi,Amar Kaushik,Ayushmann Khurrana,25,10.0,2200,171.0,197.0,30.0,227,202,808,7.4,BLOCKBUSTER,Comedy
15-11-2019,Marjaavaan,Hindi,Milap Zaveri,Sidharth Malhotra,45,7.0,2200,45.0,60.0,12.0,72,27,60,3.5,AVERAGE,Action
15-11-2019,Hero,Tamil,PS Mithran,Sivakarthikeyan,50,6.0,1800,0.05,45.0,15.0,60,10,20,6.3,AVERAGE,Action
15-11-2019,Driver Jamuna,Tamil,Kinslin,Aishwarya Rajesh,8,0.9,400,0.05,10.0,3.0,13,5,63,6.2,AVERAGE,Action
22-11-2019,Pagalpanti,Hindi,Anees Bazmee,John Abraham,80,5.0,2500,33.0,42.0,12.0,54,-26,-32,3.3,DISASTER,Comedy
22-11-2019,Gangs of Madras,Tamil,Shanthakumar,Ashok Kumar,15,2.0,700,0.05,18.0,6.0,24,9,60,6.1,AVERAGE,Crime
22-11-2019,Adithya Varma,Tamil,Gireesaaya,Dhruv Vikram,35,3.5,1200,0.02,40.0,12.0,52,17,48,6.5,HIT,Romance
29-11-2019,Commando 3,Hindi,Aditya Datt,Vidyut Jammwal,40,5.0,2000,32.0,41.0,10.0,51,11,27,6.0,AVERAGE,Action
06-12-2019,Pati Patni Aur Woh,Hindi,Mudassar Aziz,Kartik Aaryan,40,9.0,2500,86.0,117.0,20.0,137,97,242,6.7,HIT,Comedy
06-12-2019,Thambi,Tamil,Jeethu Joseph,Karthi,45,5.0,1500,0.02,55.0,15.0,70,25,55,6.8,HIT,Drama
13-12-2019,Panipat,Hindi,Ashutosh Gowariker,Arjun Kapoor,100,4.0,2200,34.0,45.0,10.0,55,-45,-45,5.5,FLOP,Historical
13-12-2019,Ardhabhau,Odia,Sabyasachi Mohapatra,Sabyasachi Mishra,3,0.5,200,0.01,4.0,2.0,6,3,100,7.0,HIT,Comedy
20-12-2019,Dabangg 3,Hindi,Prabhu Deva,Salman Khan,120,24.0,3600,146.0,173.0,40.0,213,93,77,3.2,AVERAGE,Action
20-12-2019,Prati Roju Pandage,Telugu,Maruthi,Sai Dharam Tej,30,6.0,1400,0.2,45.0,15.0,60,30,100,6.8,HIT,Drama
20-12-2019,Mardaani 2,Hindi,Gopi Puthran,Rani Mukerji,30,3.5,1600,67.0,85.0,10.0,95,65,216,7.4,HIT,Crime
20-12-2019,Tanhaji The Unsung Warrior,Hindi,Om Raut,Ajay Devgn,150,15.0,2800,279.0,367.0,80.0,447,297,198,8.0,BLOCKBUSTER,Historical
20-12-2019,Driving Licence,Malayalam,Lal Jr,Prithviraj Sukumaran,25,4.0,1100,0.1,42.0,18.0,60,35,140,7.3,HIT,Comedy
20-12-2019,Darbar,Tamil,A R Murugadoss,Rajinikanth,200,30.0,3000,0.05,250.0,90.0,340,140,70,6.1,HIT,Action
21-12-2019,Mathu Vadalara,Telugu,Ritesh Rana,Sri Simha,6,1.2,500,0.1,15.0,5.0,20,14,233,7.7,HIT,Comedy
27-12-2019,Good Newwz,Hindi,Raj Mehta,Akshay Kumar,60,17.0,3100,201.0,244.0,70.0,314,254,423,7.8,BLOCKBUSTER,Comedy
